alert_id,transaction_id,customer_id,classification,confidence,reasoning,investigation_note,route,max_similarity,triggered_rules,is_fraud_ground_truth,fraud_pattern_ground_truth,model,decided_at
ALERT_00083515,TXN_0720D38DD56B,CUST_8445F5C39A,likely_fraud,0.82,"Single transaction of $1407.83 from IP country JP, which does not appear in customer's 90-day history (only UK, DE, TH used). First-ever jewelry purchase (high-risk MCC) significantly outside customer's typical categories. Top 3 similar cases all confirmed fraud with 0.59-0.61 similarity, showing consistent pattern of CNP transactions from new countries being fraudulent.","Card-not-present jewelry purchase from Japan IP when customer has never transacted from JP before, despite recent international activity in DE and TH. Amount is within normal range but the combination of new high-risk country and first jewelry purchase matches confirmed fraud patterns. Contact customer immediately to verify this transaction as similar cases involved compromised card data.",llm,0.6068,"geo_impossible,mcc_anomaly,cnp_foreign",1,geo_impossible,anthropic/claude-sonnet-4,2026-05-23T13:32:55
ALERT_00021939,TXN_D010D9B63C06,CUST_AA7FCF0818,likely_fraud,0.88,"Clear card-testing burst pattern with 6 transactions across 5 different IP countries (CN, DE, FR, JP, TH) and 6 different merchants within 7.5 minutes - this is the textbook signature of automated fraud testing. While the customer has used DE before, the burst pattern across multiple countries simultaneously is impossible for legitimate use. All three most similar historical cases (similarity 0.64-0.65) resulted in confirmed fraud with the same card-not-present foreign pattern.","This alert shows classic card-testing behavior with rapid-fire small transactions across multiple countries and merchants within minutes. The customer's legitimate international travel history (evidenced by previous transactions in DE, FR, TH, JP, CN) makes this case particularly sophisticated, as fraudsters may be exploiting the customer's known travel patterns to avoid detection. Recommend immediate card suspension and customer contact to verify the burst of transactions, especially given the strong similarity to confirmed fraud cases in the historical data.",llm,0.6486,"velocity,geo_impossible",1,velocity,anthropic/claude-sonnet-4,2026-05-23T13:32:59
ALERT_00083868,TXN_656827C13446,CUST_F0A432E8A6,likely_fraud,0.88,"The burst-window evidence shows a clear card-testing pattern with 8 transactions across 5 different IP countries (BR, CN, NG, RU, US) and 8 different merchants within 9 minutes - this is the classic signature of automated fraud testing. While the individual transaction amount ($17.72) is normal and the customer has used NG before, the multi-country burst pattern combined with the geo_impossible rule (prior transaction in BR within 60 minutes) indicates coordinated fraudulent activity across multiple locations.","This alert exhibits the textbook card-testing fraud pattern with rapid-fire transactions from multiple foreign IP addresses across different countries within minutes. The customer's legitimate international history (NG, BR) may have been exploited by fraudsters who obtained the card data and are now testing it systematically across multiple geographic locations. Contact the customer immediately to verify these transactions and consider blocking the card pending confirmation, as the burst pattern suggests ongoing automated fraud attempts.",llm,0.692,geo_impossible,1,velocity,anthropic/claude-sonnet-4,2026-05-23T13:33:04
ALERT_00064074,TXN_915661D8D194,CUST_7306EE9D29,likely_fraud,0.82,"Single transaction with no burst pattern, but amount ($1235.10) is within normal range compared to historical max ($12017.21). However, this is the customer's first-ever money_transfer transaction from a new IP country (DE) they've never used before, and all three most similar historical cases with the cnp_foreign pattern resulted in confirmed fraud. The combination of new high-risk MCC, new foreign IP country, and strong historical precedent indicates fraud despite the normal transaction amount.","Customer has never transacted from Germany (DE) in their 90-day history, only from UK. This is their first money_transfer transaction ever, representing a significant behavioral departure from their typical restaurant and online_retail spending. All retrieved similar cases involving card-not-present transactions from new foreign countries resulted in confirmed fraud, suggesting this follows a known fraud pattern despite the reasonable transaction amount.",llm,0.5747,"mcc_anomaly,cnp_foreign",1,cnp_foreign,anthropic/claude-sonnet-4,2026-05-23T13:33:10
ALERT_00052121,TXN_5BD6DA0F742C,CUST_095450D398,likely_fraud,0.88,"Clear card-testing burst pattern with 7 transactions across 6 different IP countries (AE, DE, JP, NG, RU, TH) and 7 merchants in just 9 minutes - this is the classic fraud signature. While the individual transaction amount ($13.71) is normal and TH is not in the customer's 90-day history, the burst evidence alone is definitive fraud behavior. The retrieved cases show confirmed fraud from TH with similar CNP patterns, though at higher amounts.",This alert shows a textbook card-testing attack with rapid-fire transactions from multiple foreign countries and merchants within minutes. The fraudster is likely testing the card's validity across different payment processors before attempting larger purchases. Contact the customer immediately to verify these international transactions and consider blocking the card to prevent further unauthorized use.,llm,0.5888,"velocity,geo_impossible,cnp_foreign",1,velocity,anthropic/claude-sonnet-4,2026-05-23T13:33:16
ALERT_00025996,TXN_55AD453DDC49,CUST_D094CB8352,false_positive,0.82,"Single transaction with no burst pattern present. Amount ($1034.06) is within normal range, actually below customer's historical max of $1114.04. IP country CN is in customer's 90-day history, showing they have transacted from China before. While jewelry is a new MCC, the customer has international transaction experience and the amount is not anomalous.","Customer has established pattern of international transactions including China within past 90 days. Transaction amount is below their historical maximum, indicating this falls within their spending capacity. The MCC anomaly rule fired because this is their first jewelry purchase, but all other behavioral indicators suggest legitimate customer activity rather than fraud.",llm,0.5815,mcc_anomaly,1,cnp_foreign,anthropic/claude-sonnet-4,2026-05-23T13:33:22
ALERT_00024963,TXN_8E39A836F522,CUST_7B06EE78C9,likely_fraud,0.87,"The burst-window evidence shows a clear card-testing pattern: 6 transactions in 7.5 minutes across 3 different IP countries (DE, FR, NG) and 5 different merchants, which is the signature of automated fraud testing. While the individual transaction amount ($9.24) is normal and the IP country FR is in the customer's 90-day history, the multi-country burst pattern combined with the high similarity (0.66) to confirmed fraud cases strongly indicates fraudulent activity.","This alert exhibits the classic card-testing fraud signature with rapid-fire transactions across multiple countries and merchants within minutes. The customer has legitimate international transaction history, but the velocity and geographic spread of this burst is inconsistent with normal customer behavior. Contact the customer immediately to verify if they authorized these transactions and consider blocking the card pending confirmation.",llm,0.6627,"velocity,geo_impossible",1,velocity,anthropic/claude-sonnet-4,2026-05-23T13:33:26
ALERT_00041745,TXN_9A8CA3A35C6D,CUST_C6B6F3FC92,likely_fraud,0.82,"Single transaction with no burst pattern, but amount ($1321.18) is within normal range compared to historical max ($3518.59). However, this is the customer's first-ever crypto transaction despite 18+ months of exclusive retail/restaurant activity, and it originates from China (CN) which has never appeared in their transaction history. All three retrieved cases with identical MCC anomaly patterns (customers with no crypto history suddenly making crypto purchases from foreign IPs) resulted in confirmed fraud with phishing as the attack vector.","Customer has never transacted in crypto category or from China in their entire history, making this a significant behavioral departure. The pattern matches confirmed fraud cases where customers with exclusive retail/restaurant spending suddenly made unauthorized crypto purchases after credential compromise. Contact customer immediately to verify if they initiated this cryptocurrency transaction and check for any recent phishing attempts or suspicious communications.",llm,0.6037,"mcc_anomaly,cnp_foreign",1,mcc_anomaly,anthropic/claude-sonnet-4,2026-05-23T13:33:31
ALERT_00071512,TXN_1255981D48E4,CUST_F7FDDA1EAA,likely_fraud,0.82,"Single transaction of $1870.83 is 1.8x the customer's historical max of $1041.44, representing a significant amount anomaly. The transaction is in crypto (high-risk MCC) which has never appeared in the customer's typical categories (gas, retail, restaurant, online_retail, travel), and originates from China (CN) which is not in the customer's 90-day IP history (only US, TH). All three retrieved cases with similar patterns resulted in confirmed_fraud outcomes, providing strong precedent.","Customer has never transacted in cryptocurrency despite 18+ months of card history, making this MCC anomaly highly suspicious. The IP originates from China, a country not in their recent transaction geography, while the amount exceeds their normal spending pattern. Contact customer immediately to verify if they initiated this crypto purchase from China, as the pattern matches confirmed fraud cases involving compromised credentials.",llm,0.5637,"geo_impossible,mcc_anomaly,cnp_foreign",1,geo_impossible,anthropic/claude-sonnet-4,2026-05-23T13:33:35
ALERT_00087834,TXN_480C09328E3C,CUST_96D117D5B4,likely_fraud,0.88,"The burst-window evidence shows a clear card-testing pattern with 5 transactions across 5 different IP countries (CN, FR, JP, MX, TH) and 5 different merchants within 6 minutes - this is the textbook signature of automated fraud testing. While the individual transaction amount ($18.22) is normal and Thailand is not in the customer's recent history, the multi-country burst pattern is definitive fraud evidence that overrides other considerations.","This alert exhibits the classic card-testing fraud pattern with rapid-fire transactions from multiple foreign IP addresses across different merchants. The customer has legitimate international transaction history, but the synchronized multi-country burst within 6 minutes indicates the card details are being tested by fraudsters using proxy networks. Contact the customer immediately to verify these transactions and consider blocking the card pending confirmation.",llm,0.5652,"geo_impossible,cnp_foreign",1,velocity,anthropic/claude-sonnet-4,2026-05-23T13:33:39
ALERT_00020535,TXN_88C547FA0D74,CUST_7D74262AAD,likely_fraud,0.88,"The burst-window evidence shows a clear card-testing pattern: 7 transactions in 9 minutes across 6 different IP countries (CN, DE, MX, NG, RU, TH) and 6 different merchants, which is the signature of automated fraud testing. While the individual transaction amount ($17.42) is normal and the customer has used some of these countries before, the rapid-fire multi-country, multi-merchant pattern is definitive fraud behavior that cannot be explained by legitimate customer activity.","This alert exhibits the classic card-testing fraud signature with 7 transactions across 6 countries and 6 merchants in just 9 minutes. The fraudster is systematically testing the stolen card credentials across multiple geographic locations and merchants to identify which combinations work. While the customer has legitimate travel history to some of these countries, no legitimate customer makes simultaneous purchases across 6 different countries within minutes.",llm,0.574,"velocity,geo_impossible,cnp_foreign",1,velocity,anthropic/claude-sonnet-4,2026-05-23T13:33:43
ALERT_00087647,TXN_3D49A97D7C32,CUST_7FC410038F,likely_fraud,0.82,"Single transaction of $1928.29 is exactly 2x the customer's historical max ($966.49), representing a significant amount anomaly. The transaction originates from AE (UAE), a country the customer has never used in their 90-day history (only UK), and involves gambling MCC which is both high-risk and completely outside their typical spending pattern (restaurant, gas, online_retail, grocery). While similar historical cases show customer_error outcomes, the combination of amount anomaly, new foreign country, and high-risk MCC creates multiple corroborating fraud signals.","Customer has never transacted from UAE or in gambling category, making this a double anomaly. The $1928.29 amount is 2x their historical maximum, suggesting potential unauthorized high-value fraud rather than forgotten legitimate activity. Contact customer immediately to verify if they authorized this gambling transaction from UAE - if not confirmed within 24 hours, consider blocking card for protection.",llm,0.5831,"mcc_anomaly,cnp_foreign",1,mcc_anomaly,anthropic/claude-sonnet-4,2026-05-23T13:33:49
ALERT_00099451,TXN_F2BA89FDC95B,CUST_4D01E2F176,likely_fraud,0.88,"The burst-window evidence shows 6 transactions across 5 different IP countries (DE, FR, MX, NG, RU) and 6 merchants within 7.5 minutes, which is the classic card-testing signature pattern. While the individual transaction amount ($23.54) is normal and the customer has used online_retail MCC before, the IP country NG is new (not in 90-day history of US,TH,RU,JP). The most similar historical case (similarity=0.63) involved card-testing with small transactions from foreign IPs and was confirmed fraud.","This alert exhibits the textbook card-testing fraud pattern: multiple small transactions across different countries and merchants in rapid succession. The fraudster is likely validating the stolen card number with low-value purchases before attempting larger transactions. Contact the customer immediately to verify these transactions and consider blocking the card if unauthorized, as this pattern typically precedes higher-value fraud attempts.",llm,0.6356,cnp_foreign,1,velocity,anthropic/claude-sonnet-4,2026-05-23T13:33:53
ALERT_00031893,TXN_E179D7D2EA7B,CUST_E6EC76F7A2,likely_fraud,0.88,"The burst-window evidence shows a clear card-testing pattern: 5 transactions in 6 minutes across 3 different IP countries (BR, JP, NG) and 5 different merchants, which is the signature of automated fraud testing. While the individual transaction amount ($19.34) is normal and the customer has used JP before, the multi-country burst pattern combined with the top 3 similar cases all being confirmed fraud with 0.66-0.68 similarity strongly indicates fraudulent activity.","This alert exhibits the classic card-testing fraud signature with rapid-fire transactions across multiple countries and merchants within minutes. The customer's legitimate international transaction history (JP, BR, NG in past 90 days) may have been used by fraudsters to make the activity appear normal, but the velocity and geographic spread are consistent with automated testing. Contact customer immediately to verify these transactions and consider temporary card suspension.",llm,0.6759,"velocity,geo_impossible",1,velocity,anthropic/claude-sonnet-4,2026-05-23T13:34:00
ALERT_00073032,TXN_FC4B97475C67,CUST_D0C53A2AF8,likely_fraud,0.88,"Single transaction of $20,170.08 is 14.9x the customer's historical maximum of $1,357.01, which constitutes fraud-grade evidence by itself. While the IP country (US) matches the customer's home country and the MCC (electronics) is in their typical list, the extreme amount anomaly overrides these factors. All three retrieved historical cases with similar patterns (10-16x amount anomalies at electronics retailers) resulted in confirmed fraud outcomes.","This alert shows a classic high-value fraud pattern where stolen credentials are used for a single large electronics purchase rather than multiple small transactions. The $20K amount is completely outside the customer's spending behavior (14.9x their historical max) despite being at a familiar merchant type. Contact the customer immediately to verify this purchase, as the pattern strongly matches confirmed fraud cases involving high-resale electronics ordered to forwarding addresses.",llm,0.5743,amount_anomaly,1,amount_anomaly,anthropic/claude-sonnet-4,2026-05-23T13:34:06
ALERT_00005011,TXN_426585E619D3,CUST_96E9947210,false_positive,0.82,"Single transaction with no burst pattern, amount ($20.26) is well within normal range compared to historical max ($2848.10), and the MCC (gas) is in customer's typical usage. While IP country BR is new, the low amount and familiar merchant category suggest legitimate travel-related spending rather than fraud.","Customer appears to be traveling from Canada to Australia with a gas purchase in Brazil, which could indicate a connecting flight or layover. The transaction amount is typical for gas purchases and matches the customer's historical spending patterns. The retrieved similar cases all involved much higher amounts ($1500-$4400) and customers with no international transaction history, unlike this case where the customer has some international activity.",llm,0.5803,cnp_foreign,0,,anthropic/claude-sonnet-4,2026-05-23T13:34:10
ALERT_00082307,TXN_D3EA92850726,CUST_2A799FB12F,false_positive,0.82,"Single transaction with no burst pattern indicates legitimate use rather than card testing. Amount of $101.74 is well within customer's normal range (historical max $2032.95) and matches their typical restaurant spending. IP country CN is new but customer has extensive international transaction history across 6 countries in past 90 days, making this consistent with travel behavior.","Customer shows established pattern of international transactions across US, MX, BR, DE, TH, FR in past 90 days, indicating frequent travel or international activity. The transaction amount and MCC (restaurant) align perfectly with customer's typical spending behavior. While the retrieved cases show confirmed fraud, they involved customers with no international history for 24+ months, unlike this customer who actively transacts internationally.",llm,0.5843,cnp_foreign,0,,anthropic/claude-sonnet-4,2026-05-23T13:34:15
ALERT_00043893,TXN_AA61E8B0D4B7,CUST_6A9761DC5B,false_positive,0.78,"Single transaction with no burst pattern present. Amount of $614.22 is well within normal range (historical max $2164.55). Customer has recent international transaction history including France in 90-day window, indicating comfort with cross-border purchases. While AE is a new country, the customer's established international behavior and normal transaction amount suggest legitimate activity.","Customer has demonstrated international purchasing behavior with transactions from France in the past 90 days, indicating comfort with cross-border online shopping. The transaction amount is reasonable compared to their historical maximum and spending patterns. The cnp_foreign rule fired due to new country AE, but given the customer's international transaction history and normal amount, this appears to be legitimate cross-border e-commerce activity.",llm,0.5896,cnp_foreign,0,,anthropic/claude-sonnet-4,2026-05-23T13:34:22
ALERT_00078495,TXN_DAA761FD5606,CUST_7DA204CCC5,false_positive,0.78,"Single transaction with no burst pattern present. Amount of $122.84 is well within normal range (historical max $364.88). While IP country JP is new, customer has recent international transaction history from BR, indicating comfort with cross-border online purchases. The MCC online_retail is in customer's typical usage pattern.","Customer has established pattern of international online retail purchases, having transacted from Brazil in the past 90 days. The transaction amount is consistent with their spending profile and the merchant category matches their typical behavior. The cnp_foreign rule fired due to new country JP, but this appears to be legitimate international shopping behavior given the customer's recent cross-border transaction history.",llm,0.6012,cnp_foreign,0,,anthropic/claude-sonnet-4,2026-05-23T13:34:26
ALERT_00063371,TXN_D8C84F68C1B7,CUST_54AE770E42,false_positive,0.78,"Single transaction with no burst pattern indicates legitimate behavior rather than card testing. Amount of $491.11 is well within normal range (20% of historical max $2465.77). Customer has recent international transaction history from Russia in 90-day window, showing comfort with foreign online purchases.","Customer has established pattern of international online retail transactions, including recent activity from Russia within 90 days. The transaction amount is consistent with their spending profile and well below their historical maximum. While Japan is a new country for this customer, the single transaction pattern and normal amount suggest legitimate cross-border online shopping rather than fraudulent activity.",llm,0.5854,cnp_foreign,0,,anthropic/claude-sonnet-4,2026-05-23T13:34:30
ALERT_00015908,TXN_19A5D25B0D0B,CUST_03735F0CAD,false_positive,0.82,"Single transaction with no burst pattern indicates legitimate behavior rather than card testing. Amount of $37.95 is well within normal range (historical max $1481.53) and matches customer's typical grocery spending pattern. While IP country FR is new, the MCC (grocery) is in customer's typical categories and the transaction fits established spending behavior.","Customer made a single $37.95 grocery purchase from France, which is consistent with their typical grocery spending habits despite being from a new IP country. The amount is normal for their spending profile and there's no burst activity suggesting card testing. This appears to be legitimate travel-related spending where the customer is purchasing groceries while abroad.",llm,0.5901,cnp_foreign,0,,anthropic/claude-sonnet-4,2026-05-23T13:34:34
ALERT_00048881,TXN_3D2EC889DCEA,CUST_83852519A9,false_positive,0.78,"Single transaction with no burst pattern present. Amount of $131.45 is well within normal range (historical max $4060.46, recent avg $131.28). While IP country MX is new, customer has recent international transaction history (JP within 90 days) and the MCC online_retail is in their typical usage pattern.","Customer has established international transaction behavior with Japan in recent 90-day history, indicating comfort with cross-border online purchases. The transaction amount matches their recent average spending exactly ($131.28) and the merchant category is consistent with their typical online retail usage. The CNP foreign rule fired due to new country MX, but given the customer's international profile and normal transaction characteristics, this appears to be legitimate shopping behavior rather than fraud.",llm,0.5857,cnp_foreign,0,,anthropic/claude-sonnet-4,2026-05-23T13:34:38
ALERT_00031270,TXN_F0A027878F03,CUST_28CE210A8E,likely_fraud,0.78,"Single transaction from new IP country FR with no burst pattern, but amount $649.85 is within normal range (below historical max $1589.75). However, customer has never transacted from France in 90-day history (only US), and all three most similar cases with identical cnp_foreign pattern resulted in confirmed fraud with similarity scores around 0.60.",Card-not-present transaction from France when customer has only used US IPs in recent history. Pattern matches three confirmed fraud cases involving CNP transactions from new countries where customers had no international transaction history. Consider checking if card number appears in recent data breaches and contact customer to verify this international purchase.,llm,0.5952,cnp_foreign,0,,anthropic/claude-sonnet-4,2026-05-23T13:34:42
ALERT_00088239,TXN_3F6F5930C7E0,CUST_1ABFBBC22F,false_positive,0.82,"Single transaction with no burst pattern, amount ($136.12) is well within normal range compared to historical max ($1265.43), and the MCC (grocery) matches the customer's typical spending categories. While the IP country JP is new, the transaction characteristics align with legitimate customer behavior - grocery purchases are routine for this customer.","Customer made a single grocery purchase while likely traveling in Japan, which explains the foreign IP trigger. The transaction amount and merchant category are consistent with their established spending patterns. The retrieved fraud cases involved much higher amounts and cryptocurrency/unfamiliar MCCs, making them poor matches for this grocery transaction.",llm,0.6173,cnp_foreign,0,,anthropic/claude-sonnet-4,2026-05-23T13:34:45
ALERT_00095057,TXN_F258EA2CD9FF,CUST_83F905A3F6,false_positive,0.82,"Single transaction with no burst pattern indicates legitimate behavior rather than card testing. Amount of $153.07 is well within customer's normal range (historical max $575.08). While MX is a new country, customer has recent international transaction history (RU in 90-day period) and the MCC (retail) matches their typical spending pattern.","Customer has established international transaction behavior with Russia in their 90-day history, suggesting comfort with cross-border purchases. The transaction amount and merchant category are consistent with their typical spending patterns. The retrieved similar cases all involved customers with no international history for 24+ months and compromised card numbers from dark web dumps, which doesn't match this customer's profile.",llm,0.5662,cnp_foreign,0,,anthropic/claude-sonnet-4,2026-05-23T13:34:51
ALERT_00077123,TXN_EF44A37BC0DD,CUST_9C0663AC9C,false_positive,0.82,"Single transaction with no burst pattern present. Amount of $137.30 is well within normal range (historical max $2195.37). Restaurant MCC matches customer's typical spending categories. Only anomaly is the DE IP country, but this alone with a normal-amount restaurant charge is insufficient for fraud classification.","Customer made a single $137.30 restaurant purchase from Germany IP, which is their first transaction from DE but fits their normal spending pattern for restaurants. The amount is typical for their profile and no suspicious burst activity detected. The retrieved similar cases involved cryptocurrency purchases (different MCC) with much higher amounts, making them less relevant to this restaurant transaction.",llm,0.6109,cnp_foreign,0,,anthropic/claude-sonnet-4,2026-05-23T13:34:55
ALERT_00080872,TXN_45906EAED91E,CUST_FBB3227B3A,false_positive,0.82,"Single transaction with no burst pattern present, eliminating card-testing concerns. Amount of $74.15 is well within customer's normal range (historical max $1185.53). While IP country MX is new, customer has recent international transaction history from NG and AE, indicating comfort with cross-border purchases.","Customer has established pattern of international transactions in 90-day history (NG, AE) making the new MX IP less suspicious. Transaction amount is typical for this customer's spending profile. The cnp_foreign rule fired due to new country but customer's international behavior suggests legitimate cross-border shopping activity.",llm,0.5915,cnp_foreign,0,,anthropic/claude-sonnet-4,2026-05-23T13:35:01
